timestamp,age,gender,college,year_of_study,gpa_range,currently_employed,leisure_hours,self_study_hours,study_environment,sleep_hours,impact_on_learning_progress,far_away_deadlines,study_plan,start_early_when_necessary,difficult_to_maintain,data_quality_check,comfort_or_convenience,peers_consider_normal,control_over_habit,sooner_next_month,delay_until_deadline,focus_frequency,delay_unenjoyable_assignments,referrer
17/05/2026 11:27:00,19,Male,CECS (Engineering & Computer Science),1st Year,3.5 – 4.0,Yes,2.0,5.0,Collaborative space (i.e. group study room),4.0,Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Disagree,Disagree,Agree,Agree,Disagree,6.0,5.0,"Hỏa Thúy Quỳnh, Đỗ Vĩnh Nhi"
17/05/2026 11:37:08,19,Female,Non-VinUnian,1st Year,3.5 – 4.0,Yes,5.0,2.0,"Private space (i.e. bedroom, home office)",7.0,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,6.0,3.0,Phan Minh Đức
17/05/2026 12:00:58,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,No,3.0,8.0,Cafes,6.0,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,5.0,5.0,Đỗ Vĩnh Nhi
17/05/2026 12:02:40,21,Prefer not to say,Non-VinUnian,4th Year,3.0 – 3.49,Yes,1.0,10.0,Open learning space (i.e. university library),4.0,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,4.0,5.0,Đỗ Vĩnh Nhi
17/05/2026 12:03:48,18,Other,Non-VinUnian,1st Year,3.0 – 3.49,No,2.0,7.0,Open learning space (i.e. university library),5.0,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,4.0,3.0,Đỗ Vĩnh Nhi
17/05/2026 12:24:30,22,Female,CBM (Business and Management),2nd Year,3.5 – 4.0,No,3.0,9.0,Open learning space (i.e. university library),7.0,Agree,Somewhat Disagree,Agree,Agree,Strongly Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Agree,Neutral,5.0,6.0,idk
17/05/2026 13:28:42,19,Male,Non-VinUnian,1st Year,2.5 – 2.99,No,7.0,2.0,Cafes,6.0,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Disagree,Agree,Agree,5.0,3.0,Phan Minh Đức
17/05/2026 16:07:05,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,3.0,4.0,"Private space (i.e. bedroom, home office)",6.0,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Strongly Disagree,Neutral,5.0,5.0,Ong Quỳnh Trâm
17/05/2026 17:07:04,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,Yes,3.0,5.0,Open learning space (i.e. university library),5.0,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Agree,5.0,3.0,Đặng Tuấn Kiệt
17/05/2026 17:17:59,19,Male,Non-VinUnian,1st Year,3.0 – 3.49,No,4.0,4.0,"Private space (i.e. bedroom, home office)",8.0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5.0,4.0,"Lê Huy Tâm, Phan Minh Đức"
17/05/2026 17:27:01,18,Male,Non-VinUnian,1st Year,3.0 – 3.49,Yes,2.0,2.0,Open learning space (i.e. university library),8.0,Agree,Somewhat Agree,Agree,Agree,Neutral,Somewhat Disagree,Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,6.0,5.0,Phan Minh Đức
17/05/2026 18:43:54,20,Male,CHS (Health Science),1st Year,3.0 – 3.49,No,3.0,7.0,Open learning space (i.e. university library),5.0,Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,4.0,3.0,Đỗ Vĩnh Nhi
17/05/2026 18:46:31,20,Prefer not to say,Non-VinUnian,3rd Year,3.0 – 3.49,Yes,4.0,12.0,Cafes,3.0,Neutral,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,5.0,6.0,Đỗ Vĩnh Nhi
17/05/2026 18:47:39,18,Other,CAS (Arts and Sciences),1st Year,3.0 – 3.49,No,5.0,9.0,Cafes,5.0,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,5.0,3.0,Đỗ Vĩnh Nhi
17/05/2026 19:20:38,19,Female,Non-VinUnian,1st Year,3.5 – 4.0,Yes,3.0,3.0,Open learning space (i.e. university library),7.0,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Somewhat Agree,Agree,Strongly Disagree,5.0,1.0,Ong Quỳnh Trâm
17/05/2026 19:21:02,18,Male,Non-VinUnian,1st Year,3.5 – 4.0,No,5.0,6.0,"Private space (i.e. bedroom, home office)",7.0,Agree,Agree,Disagree,Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,4.0,5.0,Ong Quỳnh Trâm
17/05/2026 19:32:54,18,Male,Non-VinUnian,1st Year,3.0 – 3.49,No,3.0,4.0,"Private space (i.e. bedroom, home office)",6.0,Neutral,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,5.0,6.0,Ong Quỳnh Trâm
17/05/2026 20:41:09,19,Male,Non-VinUnian,1st Year,3.5 – 4.0,No,5.0,10.0,"Private space (i.e. bedroom, home office)",7.0,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,4.0,4.0,Ong Quỳnh Trâm
17/05/2026 23:10:41,18,Female,CBM (Business and Management),1st Year,3.0 – 3.49,No,3.0,7.0,Cafes,5.0,Disagree,Disagree,Neutral,Neutral,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,3.0,5.0,Đỗ Vĩnh Nhi
17/05/2026 23:12:03,20,Prefer not to say,Non-VinUnian,3rd Year,3.5 – 4.0,Yes,1.0,8.0,Cafes,6.0,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Disagree,4.0,5.0,Đỗ Vĩnh Nhi
